Field,Type,Graph,Nodes,Edges,Finished,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
BN, CSP, 29.wcsp, 82, 380, No, 90.338, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 90.763, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 87.258, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 90.758, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 89.766, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 89.945, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 92.341, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 88.864, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 95.955, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 94.482, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 94.539, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 98.547, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 98.62, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 96.342, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
BN, CSP, 29.wcsp, 82, 380, No, 96.352, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 95.324, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 95.103, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 5.0, 1024, 1921, 344868, 134948, 1578788, 5.0
