file path,mode,enumeration_timeout,results,features extraction overhead,model,model_overhead,first TD prediction,first TD actual runtime,optimal TD prediction,optimal TD actual runtime
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,PACE_REGRESSION,0.017,11336.916016810255,4260.0,2292.6881474369966,1660.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,PLS_CLASSIFIER,0.911,11082.2450876511,4260.0,1096.16077081964,1580.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,M5P,0.005,8882.851946807685,4260.0,3581.7162320881266,1070.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,ISOTONIC_REGRESSION,0.01,5699.772486772486,3870.0,2393.5714285714284,1730.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,MULTILAYER_PERCEPTRON,0.05,12396.91988571607,3870.0,-1632.6447335541907,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,CV_PARAMETER_SELECTION,0.009,8882.851946807685,3870.0,4489.213332038631,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,IBK,0.184,10156.70346151723,3870.0,3280.498971115283,1770.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,LINEAR_REGRESSION,0.003,10676.103477494558,3870.0,2617.644210415616,1200.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,M5RULES,0.003,8831.540935706329,3870.0,4489.213332038631,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,ADDITIVE_REGRESSION,0.157,5159.999941904189,3870.0,5159.999941904189,1420.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,LEAST_MED_SQ,0.001,10107.750237971617,3870.0,3492.856154038367,1200.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,PACE_REGRESSION,0.002,11336.916016810255,3870.0,2294.7911120158624,1460.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,PLS_CLASSIFIER,0.1,11082.2450876511,3870.0,1096.16077081964,1680.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,3,240,1.217,M5P,0.002,8882.851946807685,3870.0,4489.213332038631,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,ISOTONIC_REGRESSION,0.01,5699.772486772486,3870.0,2393.5714285714284,1730.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,MULTILAYER_PERCEPTRON,0.05,12396.91988571607,3870.0,-1632.6447335541907,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,CV_PARAMETER_SELECTION,0.009,8882.851946807685,3870.0,4489.213332038631,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,IBK,0.184,10156.70346151723,3870.0,3280.498971115283,1770.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,LINEAR_REGRESSION,0.003,10676.103477494558,3870.0,2617.644210415616,1200.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,M5RULES,0.003,8831.540935706329,3870.0,4489.213332038631,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,ADDITIVE_REGRESSION,0.157,5159.999941904189,3870.0,5159.999941904189,1420.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,LEAST_MED_SQ,0.001,10107.750237971617,3870.0,3492.856154038367,1200.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla70,3,70,1.217,PACE_REGRESSION,0.002,11336.916016810255,3870.0,2294.7911120158624,1460.0
